,run,epoch,train/loss,test/loss,train/perplexity,test/perplexity,epoch duration,run duration,model_type,lr,batch_size,dropout,layers_num
0,1,1,6,5,503,290,459,472,ModelType.LSTM,0.001,20,0.5,2
1,1,2,5,5,294,224,539,1012,ModelType.LSTM,0.001,20,0.5,2
2,1,3,5,5,242,196,456,1470,ModelType.LSTM,0.001,20,0.5,2
3,1,4,5,5,215,180,480,1952,ModelType.LSTM,0.001,20,0.5,2
4,1,5,5,5,197,169,491,2444,ModelType.LSTM,0.001,20,0.5,2
5,1,6,5,5,184,161,550,2995,ModelType.LSTM,0.001,20,0.5,2
6,1,7,5,5,174,156,529,3525,ModelType.LSTM,0.001,20,0.5,2
7,1,8,5,5,167,151,539,4065,ModelType.LSTM,0.001,20,0.5,2
8,1,9,5,4,160,148,539,4606,ModelType.LSTM,0.001,20,0.5,2
9,1,10,5,4,155,145,561,5168,ModelType.LSTM,0.001,20,0.5,2
0,1,11,5,5,172,150,551,559,ModelType.LSTM,0.001,20,0.5,2
1,1,12,5,4,161,146,560,1120,ModelType.LSTM,0.001,20,0.5,2
2,1,13,5,4,154,143,556,1677,ModelType.LSTM,0.001,20,0.5,2
3,1,14,5,4,149,141,925,2604,ModelType.LSTM,0.001,20,0.5,2
4,1,15,4,4,145,139,596,3201,ModelType.LSTM,0.001,20,0.5,2
5,1,16,4,4,142,138,612,3814,ModelType.LSTM,0.001,20,0.5,2
6,1,17,4,4,140,136,595,4411,ModelType.LSTM,0.001,20,0.5,2
7,1,18,4,4,137,135,811,5224,ModelType.LSTM,0.001,20,0.5,2
8,1,19,4,4,135,135,1917,7147,ModelType.LSTM,0.001,20,0.5,2
9,1,20,4,4,134,134,613,7761,ModelType.LSTM,0.001,20,0.5,2
0,1,21,4,4,147,137,595,603,ModelType.LSTM,0.001,20,0.5,2
1,1,22,4,4,142,135,602,1206,ModelType.LSTM,0.001,20,0.5,2
2,1,23,4,4,138,134,3393,4600,ModelType.LSTM,0.001,20,0.5,2
3,1,24,4,4,135,132,2704,7311,ModelType.LSTM,0.001,20,0.5,2
0,1,25,4,4,148,136,630,635,ModelType.LSTM,0.001,20,0.5,2
1,1,26,4,4,143,134,966,1602,ModelType.LSTM,0.001,20,0.5,2
2,1,27,4,4,139,132,3929,5538,ModelType.LSTM,0.001,20,0.5,2
3,1,28,4,4,135,131,3977,9521,ModelType.LSTM,0.001,20,0.5,2
4,1,29,4,4,133,129,4058,13585,ModelType.LSTM,0.001,20,0.5,2
5,1,30,4,4,131,130,4120,17711,ModelType.LSTM,0.001,20,0.5,2
6,1,31,4,4,129,128,4084,21802,ModelType.LSTM,0.001,20,0.5,2
7,1,32,4,4,127,129,4087,25896,ModelType.LSTM,0.001,20,0.5,2
8,1,33,4,4,126,127,2518,28420,ModelType.LSTM,0.001,20,0.5,2
9,1,34,4,4,124,126,654,29076,ModelType.LSTM,0.001,20,0.5,2
10,1,35,4,4,123,127,2151,31228,ModelType.LSTM,0.001,20,0.5,2
11,1,36,4,4,122,125,2957,34191,ModelType.LSTM,0.001,20,0.5,2
12,1,37,4,4,121,125,732,34924,ModelType.LSTM,0.001,20,0.5,2
